row_index,text,entity,role,ID
0,perpanjangan kontrak freeport memperkuat posisi korporasi phk buruh diselesaikan menjadikannya warisan konflik amplifier pelanggaran ham negara dikritik buruh diabaikanburuhfreeport phk2017 solidaritas suarapekerja rizalramli,freeport,ORG,1
0,perpanjangan kontrak freeport memperkuat posisi korporasi phk buruh diselesaikan menjadikannya warisan konflik amplifier pelanggaran ham negara dikritik buruh diabaikanburuhfreeport phk2017 solidaritas suarapekerja rizalramli,rizalramli,PER,1
3,istana salah data penerima penghargaan negara gombloh pencipta lagu bengawan solo ralat gombloh kebyar kebyar,gombloh,PER,4
5,prabowo persimpangan pemimpin perpanjangan tangan reformasidikorupsi antikorupsi,prabowo,PER,6
6,september kendari sulawesi tenggara demo reformasidikorupsi mahasiswa meninggal immawan randi amplifier yusuf kardawi akibat peluru tajamluka kepala polisi diperiksa sumber jakarta hang out,immawan randi amplifier yusuf kardawi,PER,7
7,bosque merinding reformasidikorupsi,bosque,PER,8
14,reformasidikorupsi kasusnya perselisihan hasil pemilu omnibus law,reformasi,PER,15
18,otak hati nurani dul bikin kesalahan langsung tanggung suka rela mundur reformasidikorupsi adem ayem baby orang,dul,PER,19
19,demo reformasidikorupsi izin orang tua berangkat kampus lely hilda ibuku ngancam duluan biar diam diam ikutan demo sejujurnya hati kecilku ikutan guilty simpan quiet nothing,lely hilda,PER,20
26,temenku wercok demo reformasidikorupsi ngetweet narasi giliran apaapa tolong very so lumayan cerdas hey you sayang juara kelas masuk wercok ngubah isi otaknya,very,PER,29
27,pasca reformasi gelombang demonstrasi senantiasa berujung klise reformasidikorupsi mositidakpercaya tolakomnibuslaw ruukhup semuabisakena kemarin indonesiagelap anyone but manchester united anyone but manchester united kebijakan kontroversial hasilnya disahkan,manchester united,ORG,30
27,pasca reformasi gelombang demonstrasi senantiasa berujung klise reformasidikorupsi mositidakpercaya tolakomnibuslaw ruukhup semuabisakena kemarin indonesiagelap anyone but manchester united anyone but manchester united kebijakan kontroversial hasilnya disahkan,manchester united,ORG,30
29,luthfi anak short term memory fotonya viral pegang bendera aksi reformasidikorupsi ditahan melawan polisi demo tolong kakak menjaga ibuknya pantau ibunya ditemenin kemanamana khawatir,luthfi,PER,32
31,pecat menteri dpr polisi butatuli penuhi tuntutan rakyat indonesiagelap peringatandarurat reformasidikorupsi,polisi butatuli,PER,34
35,demo gabungan polisi tni serang unisba unpas malam reformasipolri provokator,unisba unpas,ORG,38
36,ferry irwandi diteror akibat buka jaringan provokator demo gagalkan darurat militer provokator copotkapolrilistyosigit reformasipolri dprbebannegara,ferry irwandi,PER,39
37,kompol kosmas dipecat lindas ojol demo ricuh pemecatan buntut tewasnya pengemudi ojol mencerminkan ketegasan polri penegakan etik evaluasi prosedur pengamanan aksi reformasipolri,kompol kosmas,PER,40
37,kompol kosmas dipecat lindas ojol demo ricuh pemecatan buntut tewasnya pengemudi ojol mencerminkan ketegasan polri penegakan etik evaluasi prosedur pengamanan aksi reformasipolri,lindas ojol,PER,40
37,kompol kosmas dipecat lindas ojol demo ricuh pemecatan buntut tewasnya pengemudi ojol mencerminkan ketegasan polri penegakan etik evaluasi prosedur pengamanan aksi reformasipolri,ojol,PER,40
38,iko juliant dibunuh polisi acab resetindonesia reformasipolri,iko juliant,PER,41
39,yasudah biar kompak resetindonesia perampasanaset reformasipolri dukung reset ind man ogi ganti profil pinky,yasudah,PER,42
39,yasudah biar kompak resetindonesia perampasanaset reformasipolri dukung reset ind man ogi ganti profil pinky,pinky,PER,42
41,reformasi kepolisian republik indonesia reformasipolri polri kepolisian polisi kapolri listyosigitprabowo perspektif radhartribaskoro,kapolri listyosigitprabowo,PER,44
41,reformasi kepolisian republik indonesia reformasipolri polri kepolisian polisi kapolri listyosigitprabowo perspektif radhartribaskoro,radhartribaskoro,PER,44
45,wadas video kejadian amplifier artikel beritanya utasan linknya reformasipolri,wad,PER,48
49,maripahami impunitas melanggengkan penyiksaan kekerasan polisi impunitas upaya reformasi polri berbasis ham melanggengkan praktik penyiksaan kekerasan penggunaan kekuatan berlebih kepolisian reformasipolri,maripahami,PER,52
53,kaum perusuh pembakar amplifier penjarah digerakan lemparkan molotov disiapkan kabur hilang mahswa buruh pendemo reformasipolri reformasipolisi adilijokowiamannegeri,adilijokowiamannegeri,PER,56
56,nyawa berkorban kekhilafan aparatmu mbah wo affan dilindas rheza dipukul andika ditendang iko menyusul selamat jalan teman reformasipolri,mbah wo affan,PER,59
