full_text,Keyword,Predicted,Predicted Label,ID
perpanjangan kontrak freeport hingga memperkuat posisi korporasi namun kasus phk buruh yang belum diselesaikan menjadikannya warisan konflik amplifier pelanggaran ham negara dikritik buruh diabaikanburuhfreeport phk2017 solidaritas suarapekerja rizalramli,Solidaritas_Buruh,1,Neutral,1
mantap sangat bapak kapolri mengucapkan terima kasih buat komunitas ojol dan buruh kolaborasi seperti begini yang bikin negara makin cool solidaritas indonesiabangkit,Solidaritas_Buruh,2,Positive,2
dialog hangat mahasiswa dan pemerintah di istana negara aspirasi disampaikan langsung istana mahasiswa,Istana_Negara,1,Neutral,3
bagaimana bisa istana salah data penerima penghargaan negara gombloh kok disebut pencipta lagu bengawan solo ralat gombloh kebyar kebyar,Istana_Negara,0,Negative,4
jangan samakan kami dengan rakyat jelata wow kalimatnya luar biasa harusnya pejabat ini bukan hanya mengundurkan diri bukan faktanya sampai detik ini dia masih menikmati gaji dan fasilitas negeri sebagai karyawan rakyat reformasidikorupsi reformasidpr,ReformasiDikorupsi,0,Negative,5
prabowo di persimpangan pemimpin atau perpanjangan tangan reformasidikorupsi antikorupsi,ReformasiDikorupsi,1,Neutral,6
september kendari sulawesi tenggara demo reformasidikorupsi tapi mahasiswa meninggal immawan randi amplifier yusuf kardawi akibat peluru tajamluka kepala polisi diperiksa sumber antara sebuah jakarta hang out,ReformasiDikorupsi,1,Neutral,7
mantap bosque merinding melihatnya reformasidikorupsi,ReformasiDikorupsi,2,Positive,8
lagu buat polisi jaksa dan hakim di indonesia reformasidikorupsi,ReformasiDikorupsi,1,Neutral,9
just a minute untuk menyelamatkan nkri itu judul besar yang seharusnya dipegang semua pejabat hari ini dan publik berhak memantau menit demi menit reformasidikorupsi,ReformasiDikorupsi,1,Neutral,10
berulang jawabannya ada di just a minute ke depan dan publik berhak tahu apa langkah konkret presiden hari ini juga reformasidikorupsi krisislegitimasi,ReformasiDikorupsi,1,Neutral,11
polisi boleh gagah dengan seragam dan senjata tapi sejarah selalu catat jika mahasiswa berdiri tanpa apaapa dan itu yang bikin rezim jatuh kalian takut sama apa sama kebenaran reformasidikorupsi negarahukumkatanya,ReformasiDikorupsi,0,Negative,12
nothing kamu dapat di orang tua kita sudah terbrainwashed oleh orba sedari kecil propaganda mereka mengakar dan menjalar bertahan hingga sekarang di kepala baby psilocybin  amplifier information kiss bersyukur lah lahir di era reformasi walaupun sekarang reformasidikorupsi panjang umur perjuangan,ReformasiDikorupsi,2,Positive,13
biar ada tagline saja tawa (laugh) dulu indonesia gelap indonesia darurat reformasidikorupsi,ReformasiDikorupsi,0,Negative,14
dulu reformasidikorupsi kasusnya perselisihan hasil pemilu atau omnibus law you,ReformasiDikorupsi,1,Neutral,15
balik euy yang di lapangan sudah kagak kondusif di liatliat utamakan keselamatan yakin hari besok rakyat akan menang dprbubar reformasidikorupsi,ReformasiDikorupsi,0,Negative,16
bekaskan pajak yang mencekik yang terbantai kok adem undang undang perampasan aset kapan jadinya reformasidikorupsi reformasidpr suararakyatdijerat acab reformasidikebiri kawal usuttuntas revisiundangundangpolisi,ReformasiDikorupsi,0,Negative,17
jika tuntutan ini diabaikan maka rakyat berhak bergerak seperti mengembalikan nkri pada jalur proklamasi kedaulatan rakyat keadilan sosial dan kemanusiaan reformasipolri copotkapolri reformasidikorupsi kedaulatanrakyat,ReformasiDikorupsi,1,Neutral,18
memang punya otak sama hati nurani mereka dul kan kalau punya my bikin kesalahan sekali juga langsung tanggung jawab dan suka rela mundur ini dari reformasidikorupsi sampai saat ini masih adem ayem baby itu orang you,ReformasiDikorupsi,0,Negative,19
tahun ikut demo reformasidikorupsi tanpa izin ke orang tua berangkat dari kampus bersama lely dan hilda sekarang ibuku sudah ngancam duluan biar tidak diam diam ikutan demo seperti dulu dulu tapi sejujurnya hati kecilku ingin ikutan merasa guilty if just simpan quiet dan di nothing,ReformasiDikorupsi,0,Negative,20
demo reformasidikorupsi juga begini waktu,ReformasiDikorupsi,0,Negative,21
tetap fokus reformasidikorupsi,ReformasiDikorupsi,1,Neutral,22
indonesia tidak butuh presiden gagah di podium indonesia butuh pemimpin yang berani mendengar rakyat diam berpihak pada penindasan pilihan ada di tangan bapak reformasidikorupsi indonesiaberduka,ReformasiDikorupsi,2,Positive,23
dpr terima jutabulan untuk rumah mewah rakyat turun ke jalan suaranya ditutup flatulence blanked mata bapak bisa lihat atau sengaja purapura buta amplifier tuli reformasidikorupsi indonesiaberduka,ReformasiDikorupsi,0,Negative,24
jadi titik mendidihnya indonesiagelap jika reformasidikorupsi maka mungkin revolusiataumatitertindas bisa jadi alternatif untuk semua kegilaan ini reformasipolri reformasidpr reformasiparlemen reformasitotalpolri turunkanprabowogibran pemiluulang,ReformasiDikorupsi,1,Neutral,25
waktu ikut demo reformasidikorupsi naik transum kakak barengbareng sama mahasiswa lain tapi mencarmencar biar tidak kena sweeping baru doh mencari information tikum dimana,ReformasiDikorupsi,1,Neutral,26
sering terjadi dari waktu reformasidikorupsi untuk melancarkan narasi mereka biar terkesan kanu heunceut my gararesit,ReformasiDikorupsi,0,Negative,27
mundur woi tanggung jawab ini ulah kalian karena kebijakan kebijakan bodoh polisipembunuhrakyat reformasidikorupsi indonesiagelap,ReformasiDikorupsi,0,Negative,28
di temenku yang jadi wercok pas demo reformasidikorupsi juga ngetweet buat narasi yang sama nanti giliran ada apaapa meminta tolong ke kita very so padahal dia lumayan cerdas hey you sayang juara kelas ternyata masuk wercok bisa ngubah isi otaknya,ReformasiDikorupsi,2,Positive,29
pasca reformasi gelombang demonstrasi selalu senantiasa berujung klise sejak reformasidikorupsi mositidakpercaya tolakomnibuslaw ruukhup semuabisakena sampai kemarin yang terakhir indonesiagelap berakhir anyone but manchester united anyone but manchester united semua kebijakan yang kontroversial hasilnya tetap disahkan,ReformasiDikorupsi,2,Positive,30
dari reformasidikorupsi sampai aksi masyarakat nentang playstation network di daerah cara paling gampang buat nyetop aksi berikutnya buat snowballing adalah dengan nangkepin massa represi memang goblok tapi ampuh sangat,ReformasiDikorupsi,2,Positive,31
jadi ingat luthfi anak short term memory yang fotonya viral pegang bendera di aksi reformasidikorupsi yang ditahan karena melawan polisi saat demo tolong dan kakak menjaga ibuknya dan pantau ibunya terus you selalu ditemenin kemanamana huhu khawatir,ReformasiDikorupsi,2,Positive,32
kejadian terulang kembali di reformasidikorupsi,ReformasiDikorupsi,1,Neutral,33
pecat semua menteri dpr polisi yang butatuli penuhi semua tuntutan rakyat indonesiagelap peringatandarurat reformasidikorupsi,ReformasiDikorupsi,0,Negative,34
nabrak rakyat bukan cara meredam protes itu cara membuat demokrasi pincang dan sejarah akan mencatat siapa yang jadi pelindung siapa yang jadi penindas reformasidikorupsi lawanrepresi,ReformasiDikorupsi,0,Negative,35
administrator on forum network etc stock mylanta campur blanked ada boleh dicampur buat ngeredain akibat flatulence blanked mata lebih ampuh dari pada pasta gigi pengalaman dari aksi reformasidikorupsi,ReformasiDikorupsi,2,Positive,36
guyonan rakyat sudah seperti begini kok tidak mempan you memang sangat mendesak bapak reformasipolri reformasipolisi,ReformasiPolri,0,Negative,37
tidak ada demo gabungan polisi dan tni serang dan unisba dan unpas malam hari reformasipolri provokator,ReformasiPolri,1,Neutral,38
ferry irwandi diteror akibat buka jaringan provokator demo dan gagalkan darurat militer provokator copotkapolrilistyosigit reformasipolri dprbebannegara,ReformasiPolri,1,Neutral,39
kompol kosmas dipecat lindas ojol saat demo ricuh pemecatan buntut tewasnya pengemudi ojol mencerminkan ketegasan polri dalam penegakan etik evaluasi prosedur pengamanan aksi perlu dilakukan reformasipolri,ReformasiPolri,1,Neutral,40
iko juliant dibunuh polisi acab resetindonesia reformasipolri,ReformasiPolri,1,Neutral,41
yasudah biar kompak resetindonesia perampasanaset reformasipolri terus kalau dukung reset ind man ogi ganti profil pinky dong seperti aku,ReformasiPolri,1,Neutral,42
apakah rakyat yang protes turun ke jalan adalah rakyat yang bodoh yang tidak punya kesadaran dan argumentasi atas protes yang disampaikan ordebaru reformasipolri kembalikanmiliterkebarak yaakubakaldibaca,ReformasiPolri,0,Negative,43
segera reformasi kepolisian republik indonesia reformasipolri polri kepolisian polisi kapolri listyosigitprabowo perspektif radhartribaskoro,ReformasiPolri,1,Neutral,44
hello hi sikapmu bagaimana reformasipolri setuju tidak jangan teriak non-governmental organization swj saja aku tanya ini,ReformasiPolri,0,Negative,45
seandainya ada tuntutan reformasipolri setuju tidak kamu,ReformasiPolri,1,Neutral,46
kawal terus tindakan represif polri reformasipolri,ReformasiPolri,0,Negative,47
wadas tahun lalu video kejadian amplifier artikel beritanya ada di utasan linknya reformasipolri,ReformasiPolri,1,Neutral,48
tidak ada urgensinya polisi naik pangkat istimewa reformasipolri,ReformasiPolri,0,Negative,49
